Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
11/2001,63.700,45.200,42.500,21.600,35.700,18.200,102.600,50.200,29.310,12.000,63.300,41.200,33.800,13.800,46.100,14.400,,22.700,62.700,56.200,47.100,25.900
12/2001,59.800,131.700,166.600,16.700,106.500,69.900,74.000,89.300,29.120,95.600,123.600,136.000,106.900,116.200,73.700,27.000,68.100,37.900,57.400,81.000,91.400,56.400
1/2002,65.900,90.400,157.400,93.700,111.500,156.800,83.200,52.500,88.320,107.500,90.900,112.900,108.200,145.800,121.800,70.400,152.600,85.700,117.000,129.600,125.500,153.500
2/2002,125.700,198.800,116.400,166.900,232.700,175.500,189.500,166.900,179.430,213.900,175.500,260.300,242.700,216.800,76.500,175.400,240.700,129.500,107.000,180.000,130.500,168.600
3/2002,106.100,91.700,155.400,160.500,163.800,113.600,130.300,91.800,192.520,266.300,151.500,214.000,228.500,239.100,139.400,120.300,111.000,130.000,94.400,170.600,110.600,130.900
4/2002,42.300,70.300,49.100,125.700,85.900,105.100,65.300,22.500,129.520,98.100,102.300,43.800,156.800,134.200,67.600,75.600,75.200,51.800,149.200,105.300,53.300,84.800
5/2002,10.100,47.800,10.300,28.700,12.000,29.200,26.200,11.400,8.980,11.500,21.100,18.100,20.900,8.600,21.700,17.000,17.000,22.500,8.800,15.400,14.600,27.800
6/2002,0.500,6.500,1.900,6.200,2.000,2.000,0.800,1.000,3.420,20.400,4.800,4.400,19.800,16.500,4.000,9.200,2.000,12.800,1.800,21.100,1.000,11.300
7/2002,27.200,23.600,10.800,16.000,16.700,13.500,37.900,21.200,20.620,29.800,23.500,32.200,43.600,42.400,18.700,10.000,27.400,15.400,25.400,22.700,16.700,12.100
8/2002,19.700,20.400,9.000,22.900,13.700,13.600,19.900,10.000,0.270,1.700,6.100,13.800,15.200,10.900,9.100,2.200,4.300,1.300,4.400,30.600,5.800,2.400
9/2002,39.500,17.700,15.000,8.800,62.400,22.000,43.500,25.800,0.360,1.500,37.300,64.600,10.700,3.700,16.400,2.000,10.100,0.400,25.600,11.600,21.800,24.100
10/2002,48.800,119.100,187.300,116.300,146.100,94.200,111.900,71.000,57.730,53.800,140.100,117.500,69.800,39.400,83.300,51.100,76.800,18.400,131.600,65.900,128.400,107.100
11/2002,115.300,54.200,87.100,78.000,89.700,102.500,87.400,74.900,27.930,64.200,85.800,136.700,80.700,37.400,92.600,36.800,92.900,46.300,87.200,43.800,51.600,89.300
12/2002,74.400,107.300,170.600,105.300,109.200,128.000,91.500,149.500,143.210,66.900,116.800,124.000,108.000,107.100,177.400,81.100,170.500,40.900,134.600,112.200,100.600,123.600
1/2003,184.800,179.200,149.900,217.200,250.800,137.900,151.000,161.800,97.010,171.900,216.500,300.000,168.100,229.700,203.300,103.300,222.200,127.700,181.300,174.500,161.100,155.100
2/2003,71.400,82.600,95.300,92.500,147.200,154.800,135.600,87.300,124.920,102.200,107.800,165.200,78.900,142.700,136.200,103.700,194.800,143.600,114.900,114.400,126.300,130.900
3/2003,114.500,145.800,109.400,116.700,174.600,245.000,130.400,113.800,104.210,149.200,131.300,120.900,172.000,304.800,139.100,92.800,201.400,143.500,134.800,113.400,131.300,186.300
4/2003,52.300,37.700,58.900,22.100,36.100,43.600,55.100,59.000,27.630,2.000,46.300,52.300,14.500,39.300,18.300,5.800,21.300,9.200,60.200,46.100,67.000,37.700
5/2003,3.800,7.800,4.700,10.800,18.300,4.300,13.600,10.100,6.420,11.000,3.000,21.000,24.300,23.400,5.200,8.000,8.300,4.600,7.000,36.700,1.400,10.600
6/2003,9.400,11.400,5.700,2.600,6.800,3.300,6.800,14.300,0.500,0.000,11.000,10.600,0.500,0.000,3.200,0.000,2.800,0.000,7.600,4.800,7.200,2.300
7/2003,0.000,0.000,0.600,0.000,2.400,0.000,0.000,0.000,0.040,0.000,1.100,10.100,0.000,5.900,0.000,2.200,0.000,5.300,0.500,0.200,2.000,
8/2003,19.400,3.500,5.000,0.900,3.400,12.600,29.500,13.200,6.600,5.100,3.000,14.300,10.300,12.600,1.500,7.500,0.000,5.800,7.000,9.600,14.900,11.800
9/2003,13.100,19.200,7.800,16.900,43.700,23.300,19.000,15.100,2.920,35.900,22.400,47.300,52.200,42.600,30.900,7.000,25.500,2.700,15.400,42.900,23.000,14.600
10/2003,79.300,19.400,32.900,14.000,31.500,18.700,43.900,65.100,0.440,5.900,67.600,54.700,14.100,24.600,9.100,11.800,22.700,3.700,14.800,25.400,81.100,24.000
11/2003,43.100,59.800,42.400,68.100,25.600,33.600,84.600,54.000,5.810,22.800,40.800,12.300,17.900,25.600,23.700,10.600,14.100,2.800,16.100,14.300,20.100,26.100
12/2003,85.800,74.600,118.200,136.200,138.000,97.600,119.300,56.100,68.320,103.500,105.900,219.100,89.300,89.600,132.100,75.900,155.600,94.100,80.600,131.800,95.600,122.200
1/2004,236.300,219.000,227.400,193.000,202.400,215.600,240.400,114.200,138.600,224.600,195.900,244.200,286.100,322.000,266.600,142.800,226.800,139.400,240.400,208.900,214.700,220.700
2/2004,136.100,144.400,93.900,100.100,182.900,137.000,55.600,59.300,108.900,175.300,147.100,114.300,132.500,115.800,144.100,118.800,162.800,162.300,160.200,125.200,123.300,113.300
3/2004,79.400,125.400,47.700,81.600,105.600,95.700,35.800,38.000,87.840,47.200,54.100,61.100,52.600,68.400,101.000,64.400,55.800,64.700,61.800,115.500,79.900,96.400
4/2004,39.800,35.600,22.800,34.200,48.900,42.600,55.200,46.600,53.710,9.800,42.800,27.600,19.400,54.900,38.900,16.200,75.300,0.000,50.600,29.200,47.500,50.700
5/2004,11.700,8.400,15.900,0.500,6.200,1.100,98.000,7.800,0.000,0.700,6.100,4.800,10.200,11.600,3.300,0.000,0.000,0.000,7.400,6.200,6.100,0.000
6/2004,21.400,5.600,,0.500,0.800,2.000,18.800,10.100,0.040,0.000,11.800,17.200,1.600,2.000,2.000,0.800,0.600,0.000,0.000,0.000,0.000,2.600
7/2004,6.000,7.800,2.800,7.700,12.700,3.300,6.400,4.100,13.330,50.400,8.300,10.000,22.100,34.000,2.300,26.200,11.700,46.600,4.800,10.200,1.200,2.200
8/2004,11.400,17.100,16.500,18.400,23.700,21.900,22.300,1.300,7.060,42.100,32.800,30.500,38.300,49.900,19.200,59.600,13.200,46.800,22.800,43.000,18.300,20.300
9/2004,31.200,43.800,39.600,12.800,39.800,59.600,46.200,10.800,5.140,14.800,21.100,18.300,15.900,25.300,26.500,12.100,26.600,0.000,40.600,34.300,17.000,35.600
10/2004,45.800,5.600,11.000,2.900,17.200,13.300,29.400,32.600,2.320,0.000,34.000,28.200,2.000,11.100,21.600,0.000,14.700,1.800,13.000,5.600,17.000,15.200
11/2004,60.200,57.600,62.600,27.400,29.200,58.300,72.400,70.300,8.400,7.300,51.300,69.500,22.400,25.700,16.800,0.000,32.300,9.100,53.800,41.200,62.400,80.700
12/2004,83.800,70.600,71.500,58.200,91.100,142.500,35.000,67.100,38.820,64.500,91.900,52.100,63.200,126.300,100.000,41.900,102.100,18.300,118.800,59.100,74.900,122.800
1/2005,79.600,90.000,42.500,75.300,113.800,88.100,138.100,88.000,51.620,98.100,109.400,144.000,125.100,139.100,100.600,109.200,111.500,123.600,52.500,103.300,63.500,71.200
2/2005,152.900,154.800,171.800,265.700,216.400,213.700,131.300,114.500,121.720,215.200,148.600,231.300,142.500,189.200,278.300,187.500,267.500,259.100,199.000,157.900,142.300,202.500
3/2005,56.000,83.800,78.500,84.000,101.100,97.700,81.800,54.000,57.680,123.000,96.600,33.800,78.700,78.700,116.500,40.000,97.700,68.800,54.700,134.600,44.000,112.000
4/2005,17.700,20.500,28.600,49.700,21.100,39.000,30.300,19.400,53.730,11.400,16.600,49.900,23.600,29.500,49.600,42.800,60.200,24.800,35.400,45.700,26.400,35.800
5/2005,1.100,1.000,0.300,0.000,0.000,0.000,0.800,4.700,0.010,0.000,0.500,0.500,8.300,1.500,,0.000,0.000,0.000,0.500,0.400,2.900,0.000
6/2005,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7/2005,0.000,0.000,0.000,0.000,0.000,0.000,2.400,3.400,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,1.200,0.000,1.000,2.600
8/2005,14.000,5.200,5.000,0.500,2.600,7.900,1.800,8.300,0.010,0.000,5.200,9.000,0.000,1.000,0.000,0.000,0.600,0.000,2.800,0.000,4.300,10.800
9/2005,7.900,22.800,19.600,5.800,34.600,0.000,18.200,5.800,10.460,30.400,28.000,30.600,26.200,24.700,22.400,18.200,21.400,43.000,3.800,11.800,14.700,2.000
10/2005,51.900,60.000,59.800,30.600,74.900,118.300,107.500,45.800,2.940,44.200,75.500,94.700,58.700,61.200,75.300,6.600,16.400,27.800,65.900,39.500,39.000,67.000
11/2005,63.000,68.200,34.300,70.600,67.700,75.700,83.300,44.500,19.730,64.800,31.500,97.200,55.700,54.000,54.300,18.000,101.300,21.000,62.200,80.500,54.100,84.800
12/2005,148.900,126.800,84.500,79.900,108.700,98.000,68.500,91.200,96.720,138.100,94.200,131.200,88.500,164.200,164.600,158.300,136.100,175.900,86.400,100.800,75.100,105.400
1/2006,165.000,131.800,188.700,230.200,265.100,188.800,231.400,156.400,148.760,289.600,224.300,238.400,335.400,347.200,188.200,271.500,179.400,257.600,144.200,291.100,165.200,227.100
2/2006,83.100,42.400,36.700,107.300,65.700,115.900,38.500,45.900,119.110,122.500,31.100,93.600,80.100,196.800,109.500,118.100,165.000,81.800,46.900,64.300,34.600,103.100
3/2006,61.300,55.200,75.300,141.300,131.500,94.600,80.800,53.900,152.020,158.600,76.700,69.200,138.300,174.100,122.900,109.500,163.700,57.800,64.600,159.600,46.100,102.500
4/2006,62.600,18.400,17.200,49.900,33.700,20.500,47.700,34.000,39.330,57.300,39.300,21.800,30.800,44.600,19.800,26.900,65.300,18.300,50.500,44.600,64.400,61.600
5/2006,2.800,0.000,0.200,0.000,0.600,0.000,3.800,0.900,0.200,0.600,0.500,2.400,3.200,7.100,0.700,11.400,1.800,2.000,0.000,0.900,2.200,1.000
6/2006,5.400,2.600,1.300,0.700,6.200,3.200,0.000,4.900,0.110,2.000,1.500,0.000,3.000,3.300,3.300,0.200,0.000,0.000,2.100,0.000,9.700,8.000
7/2006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8/2006,20.800,1.400,2.300,2.800,9.200,3.000,7.200,14.200,2.720,0.000,3.800,1.400,8.900,2.300,0.200,0.400,9.100,0.900,3.900,0.600,2.300,6.800
9/2006,29.200,19.000,11.300,44.200,32.000,3.600,19.800,17.900,6.910,11.100,23.100,55.000,27.700,13.900,20.100,5.000,31.400,2.100,37.000,21.200,20.100,8.300
10/2006,71.300,80.600,60.600,38.000,25.900,48.000,43.600,32.500,5.440,48.700,55.900,16.900,25.600,43.500,52.100,37.700,46.700,26.300,42.500,37.400,45.300,42.800
11/2006,69.200,67.400,60.600,60.200,75.400,90.800,59.000,105.400,53.420,77.800,51.300,63.800,99.600,113.600,79.700,57.200,110.300,9.800,63.600,53.800,65.200,73.600
12/2006,98.100,67.600,71.100,69.000,62.000,208.300,84.700,94.700,55.420,46.200,113.200,148.900,81.100,93.900,95.700,94.200,89.400,125.100,79.500,101.500,82.300,215.200
1/2007,118.100,77.800,97.000,68.100,76.500,95.600,144.100,127.200,89.130,34.300,137.900,140.300,92.900,99.100,81.500,87.400,149.600,150.100,130.100,84.800,96.600,105.200
2/2007,79.200,48.800,54.500,105.400,34.700,96.900,53.300,40.000,78.010,84.200,97.400,114.100,61.800,136.400,67.800,113.400,147.900,37.100,58.100,171.000,50.600,104.600
3/2007,96.900,158.800,164.600,168.600,160.900,130.800,143.500,83.200,162.510,269.300,122.800,,212.400,231.300,258.400,107.000,260.900,147.900,152.600,236.700,164.400,227.200
4/2007,33.600,98.200,80.600,67.500,47.200,81.900,78.300,19.400,36.320,31.200,64.000,118.900,66.200,99.600,83.500,29.400,81.000,30.000,60.500,49.700,74.400,65.800
5/2007,16.300,15.800,12.500,2.400,4.200,3.500,37.100,6.900,4.620,0.000,5.200,7.100,2.500,6.600,14.000,0.000,13.200,0.000,14.400,10.600,19.200,9.500
6/2007,0.000,1.800,0.300,0.000,0.000,0.000,0.000,0.500,0.230,0.000,0.000,0.000,2.100,1.200,0.500,0.400,0.000,0.000,0.600,0.000,2.100,1.200
7/2007,9.800,1.000,0.600,0.800,3.200,4.600,0.000,1.700,2.140,9.900,2.200,5.800,7.800,8.300,6.700,0.000,9.700,0.000,0.500,3.300,0.000,3.000
8/2007,0.000,1.200,0.800,0.000,6.400,0.000,2.900,0.000,0.020,3.400,0.700,0.000,5.200,5.100,10.000,0.200,0.000,0.900,0.000,1.600,0.000,0.000
9/2007,14.700,59.800,60.600,75.400,41.500,22.100,66.600,14.800,5.720,19.400,83.100,75.000,41.500,30.400,16.200,10.800,16.700,7.500,25.800,61.300,46.300,41.600
10/2007,39.700,17.000,17.100,40.600,9.000,21.100,30.100,59.100,10.810,4.000,7.600,38.200,27.500,44.400,27.400,3.100,27.300,17.000,19.400,77.000,21.800,53.700
11/2007,61.900,68.300,62.800,97.600,75.300,67.200,99.100,40.900,32.120,36.800,58.100,100.700,30.600,30.300,93.300,49.200,54.300,32.900,75.400,44.200,57.100,81.300
12/2007,89.600,81.800,85.300,83.900,128.900,72.900,112.000,55.800,50.260,47.600,119.400,89.800,87.100,156.900,93.800,87.800,116.800,84.100,51.000,74.100,58.400,84.400
1/2008,168.200,146.200,98.400,271.600,208.600,149.700,130.100,135.300,196.330,207.200,134.300,219.300,245.100,284.700,226.900,194.400,196.300,175.800,130.300,209.700,100.100,161.300
2/2008,62.700,74.900,91.900,74.500,77.600,96.600,42.800,48.100,53.640,78.200,76.600,135.600,94.700,109.500,64.800,52.700,68.200,136.400,73.000,85.800,79.400,79.100
3/2008,60.300,53.000,43.700,65.100,124.900,44.100,78.200,60.900,38.040,70.500,61.800,118.000,68.500,88.700,74.600,57.900,84.200,99.200,52.400,95.000,69.700,79.900
4/2008,40.600,0.000,1.000,6.300,0.000,2.900,20.000,21.800,0.320,0.000,5.100,7.000,17.000,44.400,3.400,1.400,5.800,0.000,4.600,8.400,3.200,12.600
5/2008,24.700,8.600,3.100,0.000,0.000,2.900,3.500,14.300,0.030,0.000,8.700,20.200,1.800,0.800,1.700,0.000,0.500,0.000,6.200,6.800,6.000,4.200
6/2008,2.800,0.400,0.000,0.200,0.000,1.000,8.500,0.000,0.010,2.200,0.000,0.000,1.400,2.500,1.200,0.000,3.900,0.000,0.000,1.400,0.000,2.600
7/2008,1.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.200,1.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000
8/2008,7.700,0.000,0.000,0.600,0.000,2.500,3.500,5.300,0.600,2.200,0.000,0.000,3.200,0.500,1.400,6.400,0.200,11.600,0.000,0.800,0.000,2.400
9/2008,7.100,7.600,22.800,1.800,0.000,0.000,16.300,3.900,0.020,0.000,5.500,5.300,1.400,0.700,3.300,0.000,3.300,0.000,7.600,2.400,15.500,4.800
10/2008,48.300,52.200,44.000,34.900,44.000,37.800,79.700,57.300,11.430,25.700,48.500,85.000,53.700,52.000,54.600,6.300,42.200,13.500,49.600,79.400,51.100,59.000
11/2008,56.000,156.500,61.500,70.100,12.400,47.400,27.500,43.600,10.650,14.600,32.700,10.500,0.600,15.900,23.400,3.000,35.900,0.000,26.500,27.200,77.100,56.900
12/2008,133.700,150.800,171.600,153.500,176.700,235.800,117.100,123.300,103.910,136.100,212.200,209.500,146.200,177.300,168.300,132.200,212.200,143.400,155.600,144.200,140.000,191.800
1/2009,135.100,41.100,130.000,88.800,94.900,114.100,99.500,81.700,82.110,129.200,80.100,85.200,105.100,161.700,102.200,71.000,63.100,47.100,112.100,154.000,103.400,120.200
2/2009,79.900,139.100,91.900,119.700,162.300,90.400,61.500,73.000,147.910,228.100,113.300,87.800,126.700,210.500,190.300,130.000,131.400,153.400,90.900,136.100,83.100,135.900
3/2009,63.700,113.000,72.200,111.400,91.100,137.600,55.900,37.900,45.060,89.800,42.900,47.800,81.700,170.100,153.400,61.800,103.700,56.700,59.700,148.300,63.500,72.400
4/2009,52.600,44.400,33.200,24.600,52.600,65.200,12.100,24.600,33.420,29.000,9.300,15.500,57.500,77.000,40.200,33.400,38.700,12.400,15.300,83.000,8.600,28.400
5/2009,17.600,0.000,4.400,0.000,0.800,0.000,2.600,8.800,0.040,0.000,0.500,2.200,0.000,0.000,0.800,0.700,3.800,0.000,5.200,0.400,8.000,2.200
6/2009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7/2009,0.000,3.600,0.400,1.600,3.500,0.000,5.200,4.100,8.830,1.800,3.200,5.800,8.200,6.600,0.000,6.400,4.200,17.200,4.600,2.500,2.400,1.200
8/2009,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.800,0.000,0.000,0.000
9/2009,16.600,11.600,14.200,1.400,6.800,14.400,12.000,51.200,13.510,3.800,12.600,12.500,40.500,54.000,4.600,6.400,13.900,15.200,9.200,16.400,13.600,13.300
10/2009,26.800,35.200,28.200,28.400,31.700,19.100,51.200,10.600,3.430,61.500,13.100,48.000,35.200,34.000,35.200,4.600,25.400,14.700,19.200,56.400,27.800,36.000
11/2009,125.300,82.000,91.100,152.800,72.100,84.800,66.300,67.400,56.850,67.100,58.800,124.400,158.000,125.900,77.800,72.700,117.000,63.500,111.800,88.900,86.600,126.100
12/2009,98.500,113.500,85.400,91.200,72.500,131.100,141.200,57.300,44.260,93.700,100.000,158.600,57.400,128.500,83.800,65.000,134.200,59.800,104.600,62.500,89.900,141.200
1/2010,115.400,105.800,162.600,147.800,,187.900,135.700,147.800,,174.200,156.200,,212.900,236.200,118.900,103.500,223.100,122.000,153.800,99.300,178.200,276.300
2/2010,95.000,181.800,95.100,125.300,,180.700,153.100,101.100,,152.200,112.500,,117.500,217.600,144.200,63.800,215.700,139.000,118.800,192.800,116.500,150.000
3/2010,103.200,55.400,63.100,66.700,,139.400,74.700,116.600,,10.200,38.800,,64.400,107.000,71.600,40.600,113.900,97.900,71.600,56.300,104.900,132.000
4/2010,22.600,35.700,41.800,28.400,,73.000,12.500,5.800,,31.200,21.200,,42.000,25.100,26.800,44.200,57.300,37.600,40.800,12.300,29.300,28.700
5/2010,14.400,10.800,7.600,9.600,,15.200,14.900,12.200,,22.200,24.600,,37.200,42.500,12.400,20.500,7.800,21.800,8.600,16.100,12.100,8.100
6/2010,0.000,0.000,0.000,0.000,,0.000,1.500,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.200
7/2010,6.000,0.000,0.300,0.500,,0.000,2.700,0.900,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000
8/2010,0.000,0.000,2.300,,,0.000,2.000,1.300,,0.000,0.000,,8.700,9.100,0.000,0.000,0.000,0.000,2.600,7.100,2.300,0.800
9/2010,2.400,0.000,0.000,2.400,,0.000,0.800,2.800,,33.400,0.600,,1.200,4.200,0.000,0.800,0.000,0.000,0.000,2.900,0.000,10.400
10/2010,38.400,17.700,25.600,21.200,,18.400,35.500,46.300,,40.800,47.300,,39.000,17.600,28.400,9.400,23.200,20.900,24.800,33.400,43.700,17.600
11/2010,40.400,16.100,24.500,35.800,,58.200,6.200,22.200,,19.000,0.700,,7.800,13.100,14.000,6.300,49.200,2.900,8.600,15.000,20.900,44.200
12/2010,90.900,111.400,70.700,183.000,,102.300,188.700,92.100,,107.400,118.800,,125.900,117.000,136.300,82.400,151.900,125.400,121.000,146.700,101.400,119.700
1/2011,98.100,90.800,96.700,76.100,116.900,122.800,57.900,54.100,,126.600,68.800,56.700,,254.100,97.800,121.600,105.900,89.300,93.200,122.400,65.200,109.100
2/2011,109.000,185.300,176.300,182.500,227.100,181.100,136.100,61.200,,212.500,151.300,140.600,,288.100,213.500,153.600,209.100,170.800,153.800,202.900,165.700,208.200
3/2011,142.300,76.300,60.900,134.000,102.700,122.400,117.000,73.700,,128.700,109.900,107.800,,216.600,105.400,46.600,155.600,95.900,130.800,116.500,56.200,176.700
4/2011,33.900,6.700,23.400,41.300,14.500,9.700,35.800,15.700,,37.800,16.000,8.600,,45.300,14.100,47.700,83.200,15.300,51.200,46.800,54.000,54.700
5/2011,0.000,8.300,0.300,1.700,2.300,13.500,9.300,4.800,,8.700,10.500,9.900,,6.400,7.200,5.800,3.800,10.200,2.100,4.800,0.400,12.100
6/2011,10.100,0.600,0.000,,0.000,7.800,0.500,2.600,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.600
7/2011,1.700,7.600,5.500,5.100,6.600,9.700,7.900,0.000,,14.800,5.600,5.600,,12.000,4.800,3.200,3.900,7.900,6.200,6.400,4.100,6.400
8/2011,4.800,0.900,3.800,4.300,0.000,6.800,9.700,4.800,,0.000,1.400,2.300,0.000,3.600,4.300,0.000,1.800,7.900,11.000,0.200,10.200,1.200
9/2011,67.900,48.600,67.900,32.100,26.300,37.200,61.700,59.200,,24.400,31.700,48.600,23.100,56.000,39.600,12.400,25.700,1.600,61.200,45.800,53.300,47.800
10/2011,59.200,78.900,46.800,29.800,6.500,31.000,102.400,49.500,,14.800,33.400,45.900,22.600,21.800,77.900,0.400,14.100,6.600,59.200,25.700,5.600,41.100
11/2011,14.400,56.900,33.500,76.200,57.800,87.700,48.400,28.200,,57.600,22.500,55.600,16.000,60.700,93.300,37.600,31.500,0.000,37.600,45.300,26.400,47.200
12/2011,101.100,196.800,76.100,260.400,205.400,164.200,114.800,79.400,,144.700,118.500,186.600,128.900,284.600,348.200,171.600,172.200,222.800,104.600,151.300,120.000,139.600
1/2012,76.300,117.400,99.700,165.200,181.300,171.100,104.500,148.200,,194.200,143.200,186.800,115.000,224.900,134.000,183.000,261.500,131.900,137.600,135.400,97.600,154.000
2/2012,106.800,154.900,103.200,216.100,233.700,149.600,150.400,91.800,,189.500,130.000,282.500,248.400,339.600,238.100,174.400,230.700,206.300,159.400,294.800,128.000,191.800
3/2012,84.500,98.500,101.600,165.000,152.700,148.600,101.600,67.400,,133.700,140.400,145.000,179.600,239.700,97.600,87.100,142.800,129.300,109.200,209.900,82.400,177.900
4/2012,88.100,53.600,49.400,49.800,25.100,67.400,79.000,27.800,,40.200,40.000,134.900,43.500,79.000,80.400,73.800,94.500,68.500,25.200,59.500,41.400,111.500
5/2012,4.800,0.000,14.600,0.000,0.000,0.000,1.200,0.000,,0.000,0.200,0.300,0.000,0.000,0.000,0.200,1.500,0.400,9.600,0.000,14.400,0.000
6/2012,9.000,0.000,0.000,0.000,3.400,0.000,2.400,18.400,,0.800,0.000,2.200,1.200,1.200,0.000,0.000,0.700,0.000,0.000,0.200,0.000,0.000
7/2012,6.800,0.000,0.000,0.000,0.000,0.000,0.000,0.500,,3.300,0.300,0.000,0.000,1.300,1.700,0.400,0.000,0.000,0.000,0.000,0.000,0.000
8/2012,0.200,9.700,1.300,2.900,13.300,0.000,5.800,0.600,,1.000,1.600,3.300,4.200,1.500,8.300,3.400,3.200,1.400,0.000,5.600,4.700,1.100
9/2012,18.700,0.400,6.600,3.200,1.200,11.900,35.200,18.900,,0.000,11.500,13.200,12.400,5.400,2.900,0.900,4.900,11.600,14.600,9.800,8.700,19.600
10/2012,22.200,37.500,47.500,16.000,11.000,22.600,59.600,16.800,,29.600,21.400,29.000,7.500,17.700,23.400,7.600,55.700,12.100,14.400,7.600,19.500,27.800
11/2012,69.600,34.800,34.600,46.500,36.800,86.900,37.500,77.600,,49.700,27.200,24.500,46.300,33.200,61.500,36.000,61.600,21.000,29.000,69.500,34.300,70.400
12/2012,163.900,149.000,93.600,190.500,178.900,174.600,158.400,119.400,,156.200,136.900,51.600,252.600,241.000,212.200,142.600,179.400,137.100,172.000,157.800,152.900,186.400
1/2013,178.100,149.100,156.200,180.200,158.700,211.300,157.300,135.400,,209.300,147.900,190.400,142.400,166.000,116.400,152.400,160.000,171.400,135.600,153.000,167.700,219.400
2/2013,90.100,133.500,149.500,170.500,23.600,174.400,124.300,141.400,,127.700,216.600,184.000,152.100,210.500,104.300,166.000,149.200,159.600,180.800,175.800,207.700,141.100
3/2013,69.600,104.800,152.000,53.000,158.400,129.900,102.300,41.800,,64.500,31.400,67.200,39.300,110.900,123.700,49.400,63.600,29.000,121.400,100.000,98.000,118.800
4/2013,12.000,24.600,25.800,10.700,12.900,36.300,16.500,23.100,,0.000,13.700,11.000,13.400,12.200,14.300,1.800,6.500,0.000,43.600,14.300,20.000,31.000
5/2013,4.700,30.900,26.300,7.600,7.700,3.600,26.800,20.000,,35.600,19.200,25.300,33.700,33.700,25.100,22.400,9.400,22.500,8.000,22.400,40.900,7.800
6/2013,3.800,9.900,1.600,9.000,5.100,16.000,5.400,14.800,,51.600,7.400,16.300,18.300,40.400,13.900,8.200,11.200,24.200,2.400,12.500,2.900,9.000
7/2013,7.100,3.200,0.300,7.900,9.200,6.700,8.400,0.000,,1.300,12.100,8.300,7.200,9.100,2.200,4.000,8.000,0.000,0.900,1.500,5.900,1.800
8/2013,16.500,11.900,10.600,5.000,11.600,7.400,16.200,17.400,,22.400,12.100,11.800,6.500,10.200,10.700,8.000,14.100,25.100,4.200,4.500,9.100,6.400
9/2013,11.200,12.000,1.500,8.000,12.200,5.300,36.300,10.600,,0.000,2.500,0.000,2.500,2.100,11.700,2.600,0.000,2.100,8.200,11.600,1.800,7.600
10/2013,86.100,45.500,44.600,50.100,58.100,57.300,89.000,78.100,,56.700,89.600,115.200,46.000,73.000,35.600,65.800,36.000,84.400,81.400,32.900,92.100,65.400
11/2013,71.900,34.200,33.900,52.100,33.300,44.600,40.200,56.800,,56.400,44.400,36.600,19.100,59.400,58.400,18.000,72.700,12.500,30.400,61.400,41.000,73.200
12/2013,80.100,136.800,155.100,137.500,166.100,214.700,102.500,103.100,,139.100,155.700,186.300,173.600,165.000,140.100,141.800,210.700,162.800,12.700,117.100,127.500,148.500
1/2014,145.900,115.400,92.200,155.600,170.200,152.000,119.400,102.500,,199.100,139.700,120.400,210.400,278.800,235.500,160.500,181.600,149.600,116.200,147.000,149.500,159.800
2/2014,124.400,98.100,93.300,65.000,85.400,169.100,82.100,67.900,,46.700,174.700,95.300,77.700,103.500,92.400,28.200,65.300,50.300,136.400,107.700,105.000,136.100
3/2014,114.600,64.200,94.100,53.400,105.100,107.300,79.300,61.000,,113.800,63.700,60.600,36.000,67.300,88.500,37.000,108.100,16.800,102.500,60.500,89.100,74.800
4/2014,40.400,20.100,33.900,43.700,37.900,41.400,64.300,18.400,,31.600,32.500,38.100,18.600,40.000,45.800,18.100,83.700,5.700,19.200,40.800,56.000,29.900
5/2014,16.300,1.000,5.300,0.000,0.000,2.400,3.700,3.500,,3.800,15.700,24.000,5.200,5.400,0.000,0.000,3.300,0.000,1.200,0.100,7.300,1.200
6/2014,2.400,0.000,0.000,0.000,0.000,0.000,1.200,0.200,,0.000,0.800,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
