Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
1/1985,145.800,301.100,27.500,115.500,116.600,114.000,186.900,229.900,66.000,132.600,168.700,212.700,134.400,128.800,156.100,120.800,81.800,,,130.000,132.500,
2/1985,113.800,263.300,65.100,180.600,126.700,123.500,148.900,106.100,196.600,17.600,66.000,140.600,287.600,249.200,433.300,218.100,210.000,,,337.600,121.700,
3/1985,109.000,152.700,47.800,97.500,93.400,90.500,127.600,145.000,138.100,7.000,107.600,181.400,144.800,162.600,146.500,54.800,168.100,,,123.300,87.700,
4/1985,97.700,75.700,167.500,97.700,84.900,121.000,131.700,122.600,73.000,114.500,165.800,135.900,69.800,91.600,182.200,60.100,101.200,,,90.700,109.000,
5/1985,12.100,0.000,,6.000,41.000,20.700,23.500,28.600,20.000,13.100,17.000,34.600,29.200,38.100,10.000,3.300,62.500,,,24.900,23.100,
6/1985,40.800,36.800,,22.000,18.100,25.900,21.000,35.200,11.200,21.100,17.400,40.300,23.000,26.800,37.000,11.000,14.300,,,27.300,2.800,
7/1985,6.300,0.000,0.000,0.000,4.800,0.000,0.000,0.000,0.600,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,
8/1985,5.900,4.700,0.700,3.000,0.000,0.500,6.600,24.400,5.300,23.700,3.400,1.000,11.400,22.300,9.500,3.700,0.800,,0.000,8.200,4.700,
9/1985,46.900,16.600,14.900,31.500,3.500,65.700,86.100,56.000,14.200,54.400,103.800,115.500,65.200,89.700,33.700,24.400,3.200,,34.200,40.100,35.300,
10/1985,61.100,20.200,20.300,38.000,83.100,24.600,53.700,49.000,0.000,5.700,28.800,42.300,49.400,13.300,56.000,0.000,16.800,,12.400,32.700,44.300,
11/1985,116.600,166.100,178.700,100.000,166.700,140.800,151.300,151.000,82.800,171.100,203.400,254.400,196.600,164.200,145.400,82.300,162.900,,123.400,123.500,137.900,
12/1985,118.000,228.700,114.000,142.500,216.600,106.900,174.400,267.800,115.200,190.600,163.800,224.500,181.000,163.300,158.400,144.400,162.500,167.800,154.400,134.200,167.400,
1/1986,131.700,110.100,84.500,131.200,326.100,99.600,144.400,251.500,140.800,207.400,183.200,201.800,162.300,131.500,131.600,154.500,168.800,179.800,134.300,145.100,107.100,
2/1986,128.600,327.800,92.600,234.100,295.200,114.800,161.100,340.700,164.000,283.300,148.400,207.200,261.100,260.400,186.700,313.200,276.800,265.700,168.700,251.100,146.900,
3/1986,152.200,188.900,57.700,168.700,164.700,129.900,152.800,227.400,181.800,412.300,151.400,116.500,194.300,171.700,142.400,221.800,189.900,222.600,162.800,221.200,90.400,
4/1986,67.100,67.200,,95.700,131.000,89.600,104.000,146.400,62.400,49.500,67.600,95.800,111.300,106.200,64.200,12.600,145.300,130.200,114.100,105.800,142.600,
5/1986,18.100,0.000,,1.300,0.400,12.900,18.700,9.000,3.900,5.900,9.200,44.600,5.800,4.300,3.600,0.000,4.500,4.200,10.600,0.100,13.700,
6/1986,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,1.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
7/1986,5.100,2.100,0.000,11.000,0.000,1.000,7.300,5.300,2.500,4.700,9.000,27.400,3.400,3.600,1.400,2.800,0.000,2.200,0.000,5.200,2.400,
8/1986,16.200,44.800,0.000,1.500,14.900,4.100,26.200,33.500,10.000,5.600,20.300,41.300,4.300,37.300,15.100,3.500,6.700,2.600,6.000,12.000,7.900,
9/1986,12.800,48.200,6.300,26.000,37.100,35.500,67.200,61.100,2.400,23.400,72.600,91.800,20.300,14.000,23.500,0.000,14.600,0.300,38.200,42.000,49.700,
10/1986,40.100,69.200,37.000,6.500,20.200,2.700,32.800,41.500,0.600,18.100,17.600,18.100,23.900,29.800,10.400,0.000,21.600,2.700,,4.200,14.400,
11/1986,59.900,145.800,4.200,31.400,49.000,60.100,64.500,116.100,9.400,75.000,85.000,76.500,45.500,33.400,38.900,13.900,47.700,32.900,41.400,9.200,86.700,
12/1986,127.500,149.400,,134.100,123.000,146.800,123.100,190.100,90.700,174.100,115.100,183.400,133.700,139.500,122.000,138.600,196.500,242.200,102.300,131.500,142.600,
1/1987,157.600,137.200,,158.800,233.400,111.200,183.900,247.600,203.200,338.800,191.100,252.100,227.600,296.300,202.000,176.300,229.100,359.300,119.800,224.300,112.800,
2/1987,50.500,46.900,107.500,79.100,18.900,75.100,53.300,117.800,38.600,82.800,20.100,55.600,80.100,70.300,76.300,15.400,25.000,113.400,78.700,71.500,65.400,
3/1987,101.600,86.600,67.700,54.600,74.800,72.500,73.900,165.300,40.700,23.500,77.500,109.300,69.500,82.600,27.100,19.400,54.200,68.400,82.900,73.800,55.700,
4/1987,41.900,22.400,44.600,9.700,19.200,32.000,90.900,25.000,0.000,30.200,28.200,35.200,29.500,37.300,25.800,1.500,8.900,9.400,39.200,44.200,34.900,
